
iter 242: loss 2.1638, time 1161.28ms, mfu 5.71%
iter 243: loss 2.1038, time 1162.71ms, mfu 5.70%
iter 244: loss 2.0211, time 1157.02ms, mfu 5.69%
iter 245: loss 2.0337, time 1143.80ms, mfu 5.70%
iter 246: loss 2.0600, time 1162.98ms, mfu 5.69%
iter 247: loss 2.1544, time 1130.13ms, mfu 5.70%
iter 248: loss 2.0564, time 1162.85ms, mfu 5.70%
iter 249: loss 2.0266, time 1145.74ms, mfu 5.70%
iter 250: loss 2.0089, time 1150.39ms, mfu 5.70%
iter 251: loss 2.0629, time 1146.15ms, mfu 5.70%
iter 252: loss 2.0802, time 1146.74ms, mfu 5.70%
iter 253: loss 1.9433, time 1161.94ms, mfu 5.69%
iter 254: loss 1.9813, time 1161.15ms, mfu 5.69%
iter 255: loss 1.9707, time 1146.04ms, mfu 5.69%
iter 256: loss 2.0242, time 1161.88ms, mfu 5.69%
iter 257: loss 2.0937, time 1137.07ms, mfu 5.69%
iter 258: loss 1.9609, time 1161.81ms, mfu 5.69%
iter 259: loss 2.0527, time 1177.96ms, mfu 5.68%
iter 260: loss 1.9272, time 1146.08ms, mfu 5.68%
iter 261: loss 2.0270, time 1177.46ms, mfu 5.67%
iter 262: loss 2.0007, time 1146.81ms, mfu 5.67%
iter 263: loss 1.9616, time 1163.30ms, mfu 5.67%
iter 264: loss 2.0019, time 1143.34ms, mfu 5.67%
iter 265: loss 1.9696, time 1147.98ms, mfu 5.68%
iter 266: loss 1.9359, time 1146.01ms, mfu 5.68%
iter 267: loss 1.9609, time 1145.39ms, mfu 5.68%
iter 268: loss 2.0397, time 1145.65ms, mfu 5.69%
iter 269: loss 2.0549, time 1145.29ms, mfu 5.69%
iter 270: loss 1.9887, time 1149.14ms, mfu 5.69%
iter 271: loss 2.0484, time 1132.42ms, mfu 5.70%
iter 272: loss 1.9796, time 1162.27ms, mfu 5.69%
iter 273: loss 2.1027, time 1146.06ms, mfu 5.70%
iter 274: loss 2.0684, time 1161.38ms, mfu 5.69%
iter 275: loss 1.9411, time 1145.90ms, mfu 5.69%
iter 276: loss 2.0425, time 1162.32ms, mfu 5.69%
iter 277: loss 1.9586, time 1160.78ms, mfu 5.68%
iter 278: loss 1.9586, time 1137.39ms, mfu 5.69%
iter 279: loss 2.0001, time 1158.22ms, mfu 5.69%
iter 280: loss 2.0017, time 1130.09ms, mfu 5.70%
iter 281: loss 1.9100, time 1161.41ms, mfu 5.69%
iter 282: loss 1.9732, time 1145.19ms, mfu 5.70%
iter 283: loss 1.8630, time 1166.21ms, mfu 5.69%
iter 284: loss 1.8912, time 1161.78ms, mfu 5.68%
iter 285: loss 1.8624, time 1160.68ms, mfu 5.68%
iter 286: loss 1.8814, time 1162.16ms, mfu 5.67%
iter 287: loss 1.8114, time 1147.42ms, mfu 5.68%
