
iter 158: loss 2.3076, time 1176.48ms, mfu 5.55%
iter 159: loss 2.2151, time 1179.38ms, mfu 5.55%
iter 160: loss 2.2638, time 1186.95ms, mfu 5.55%
iter 161: loss 2.2319, time 1184.78ms, mfu 5.55%
iter 162: loss 2.3037, time 1182.47ms, mfu 5.55%
iter 163: loss 2.2411, time 1174.85ms, mfu 5.55%
iter 164: loss 2.3641, time 1174.44ms, mfu 5.55%
iter 165: loss 2.2332, time 1174.31ms, mfu 5.55%
iter 166: loss 2.2658, time 1180.28ms, mfu 5.55%
iter 167: loss 2.3387, time 1174.26ms, mfu 5.56%
iter 168: loss 2.2755, time 1170.33ms, mfu 5.56%
iter 169: loss 2.2667, time 1174.03ms, mfu 5.56%
iter 170: loss 2.1443, time 1190.80ms, mfu 5.56%
iter 171: loss 2.3163, time 1176.54ms, mfu 5.56%
iter 172: loss 2.2086, time 1178.09ms, mfu 5.56%
iter 173: loss 2.2345, time 1178.65ms, mfu 5.56%
iter 174: loss 2.2577, time 1198.89ms, mfu 5.55%
iter 175: loss 2.2224, time 1184.27ms, mfu 5.55%
iter 176: loss 2.1271, time 1178.41ms, mfu 5.55%
iter 177: loss 2.2075, time 1167.89ms, mfu 5.55%
iter 178: loss 2.2298, time 1181.96ms, mfu 5.55%
iter 179: loss 2.1745, time 1181.61ms, mfu 5.55%
iter 180: loss 2.2913, time 1176.61ms, mfu 5.55%
iter 181: loss 2.2396, time 1192.01ms, mfu 5.55%
iter 182: loss 2.3119, time 1176.98ms, mfu 5.55%
iter 183: loss 2.1894, time 1181.18ms, mfu 5.55%
iter 184: loss 2.1305, time 1179.57ms, mfu 5.55%
iter 185: loss 2.1428, time 1183.52ms, mfu 5.55%
iter 186: loss 2.2809, time 1176.01ms, mfu 5.55%
iter 187: loss 2.1356, time 1178.99ms, mfu 5.55%
iter 188: loss 2.2717, time 1173.57ms, mfu 5.55%
iter 189: loss 2.2791, time 1184.44ms, mfu 5.55%
iter 190: loss 2.1814, time 1170.54ms, mfu 5.56%
iter 191: loss 2.3018, time 1184.71ms, mfu 5.55%
iter 192: loss 2.1632, time 1170.21ms, mfu 5.56%
iter 193: loss 2.2686, time 1173.37ms, mfu 5.56%
iter 194: loss 2.2106, time 1185.46ms, mfu 5.56%
iter 195: loss 2.2986, time 1178.53ms, mfu 5.56%
iter 196: loss 2.2953, time 1182.34ms, mfu 5.56%
iter 197: loss 2.2130, time 1165.95ms, mfu 5.56%
iter 198: loss 2.2866, time 1174.55ms, mfu 5.56%
iter 199: loss 2.2437, time 1172.03ms, mfu 5.57%
iter 200: loss 2.1867, time 4248.42ms, mfu 5.16%
iter 201: loss 2.2962, time 1177.32ms, mfu 5.20%
iter 202: loss 2.1602, time 1182.87ms, mfu 5.24%
iter 203: loss 2.1485, time 1178.10ms, mfu 5.27%
iter 204: loss 2.1632, time 1184.25ms, mfu 5.30%
iter 205: loss 2.1715, time 1178.15ms, mfu 5.32%
iter 206: loss 2.2279, time 1178.35ms, mfu 5.35%
iter 207: loss 2.1236, time 1170.11ms, mfu 5.37%
iter 208: loss 2.1194, time 1186.60ms, mfu 5.39%
iter 209: loss 2.2306, time 1180.80ms, mfu 5.40%
iter 210: loss 2.1343, time 1172.03ms, mfu 5.42%
iter 211: loss 2.1546, time 1179.04ms, mfu 5.43%
iter 212: loss 2.1411, time 1182.08ms, mfu 5.44%
iter 213: loss 2.1481, time 1173.82ms, mfu 5.46%
iter 214: loss 2.2148, time 1174.81ms, mfu 5.47%
iter 215: loss 2.0636, time 1190.74ms, mfu 5.47%
iter 216: loss 2.0839, time 1183.68ms, mfu 5.48%
iter 217: loss 2.1325, time 1171.19ms, mfu 5.49%
iter 218: loss 2.1229, time 1175.97ms, mfu 5.50%
iter 219: loss 2.1647, time 1171.05ms, mfu 5.51%
iter 220: loss 2.0835, time 1181.25ms, mfu 5.51%
iter 221: loss 2.2466, time 1168.79ms, mfu 5.52%
iter 222: loss 2.2437, time 1184.51ms, mfu 5.52%
iter 223: loss 2.1648, time 1187.57ms, mfu 5.52%
iter 224: loss 2.0631, time 1174.08ms, mfu 5.53%
iter 225: loss 2.1418, time 1191.14ms, mfu 5.52%
iter 226: loss 2.0984, time 1172.85ms, mfu 5.53%
iter 227: loss 2.1102, time 1194.65ms, mfu 5.53%
iter 228: loss 2.1504, time 1166.74ms, mfu 5.53%
iter 229: loss 2.1119, time 1186.95ms, mfu 5.53%
iter 230: loss 2.1848, time 1176.14ms, mfu 5.54%
iter 231: loss 2.0748, time 1168.64ms, mfu 5.54%
iter 232: loss 2.0853, time 1179.59ms, mfu 5.54%
iter 233: loss 2.1052, time 1196.74ms, mfu 5.54%
iter 234: loss 2.1101, time 1179.07ms, mfu 5.54%
iter 235: loss 2.0433, time 1183.02ms, mfu 5.54%
iter 236: loss 2.1281, time 1175.24ms, mfu 5.54%
