
iter 1710: loss 1.3015, time 78.84ms, mfu 4.65%
iter 1720: loss 1.3417, time 78.81ms, mfu 4.66%
iter 1730: loss 1.3383, time 78.84ms, mfu 4.67%
iter 1740: loss 1.3425, time 84.83ms, mfu 4.64%
iter 1750: loss 1.3338, time 10224.10ms, mfu 4.18%
iter 1760: loss 1.3384, time 95.57ms, mfu 4.15%
iter 1770: loss 1.3439, time 78.81ms, mfu 4.21%
iter 1780: loss 1.3232, time 83.35ms, mfu 4.23%
iter 1790: loss 1.3472, time 78.23ms, mfu 4.29%
iter 1800: loss 1.3101, time 78.72ms, mfu 4.33%
iter 1810: loss 1.3400, time 94.45ms, mfu 4.29%
iter 1820: loss 1.3292, time 94.09ms, mfu 4.26%
iter 1830: loss 1.3272, time 78.95ms, mfu 4.30%
iter 1840: loss 1.3356, time 70.75ms, mfu 4.40%
iter 1850: loss 1.3036, time 79.48ms, mfu 4.43%
iter 1860: loss 1.3299, time 78.24ms, mfu 4.46%
iter 1870: loss 1.3756, time 93.84ms, mfu 4.41%
iter 1880: loss 1.3418, time 78.82ms, mfu 4.44%
iter 1890: loss 1.3015, time 78.83ms, mfu 4.47%
iter 1900: loss 1.3156, time 85.35ms, mfu 4.46%
iter 1910: loss 1.3151, time 78.98ms, mfu 4.48%
iter 1920: loss 1.3254, time 78.82ms, mfu 4.51%
iter 1930: loss 1.3180, time 77.41ms, mfu 4.54%
iter 1940: loss 1.3177, time 78.82ms, mfu 4.56%
iter 1950: loss 1.3371, time 78.84ms, mfu 4.57%
iter 1960: loss 1.2910, time 78.24ms, mfu 4.59%
iter 1970: loss 1.3078, time 93.86ms, mfu 4.53%
iter 1980: loss 1.3332, time 78.84ms, mfu 4.55%
iter 1990: loss 1.3048, time 78.82ms, mfu 4.57%
iter 2000: loss 1.2962, time 10230.60ms, mfu 4.11%
iter 2010: loss 1.3093, time 78.72ms, mfu 4.17%
iter 2020: loss 1.2936, time 78.84ms, mfu 4.23%
iter 2030: loss 1.3348, time 79.06ms, mfu 4.28%
iter 2040: loss 1.3160, time 78.83ms, mfu 4.32%
iter 2050: loss 1.2898, time 78.84ms, mfu 4.36%
iter 2060: loss 1.2818, time 91.16ms, mfu 4.33%
